Modelo,Cilindros,Potencia (HP),Tamaño (L),R. Ciudad (km/l),R. Carr. (km/l),R. Comb. (km/l),R. Ajust. (km/l),CO2(g/km),NOx (g/1000km),Calificación Gas Ef. Inv.,Hibrido,Marca_Mean_Encoded,Submarca_Mean_Encoded,Versión_Mean_Encoded,Trans._Mean_Encoded,Comb._Mean_Encoded,Categoría_Mean_Encoded
2015,4,188,2.0,27.44,28.57,28.93,21.7,107,5,10,1,236.24513618677042,194.4090909090909,107.0,212.61943319838056,256.83106267029973,204.46100278551532
2016,4,188,2.0,27.44,28.57,28.93,21.7,107,0,10,1,236.24513618677042,194.4090909090909,107.0,212.61943319838056,256.83106267029973,204.46100278551532
2017,4,188,2.0,25.62,24.77,25.23,18.92,123,2,10,1,236.24513618677042,194.4090909090909,123.0,212.61943319838056,256.83106267029973,204.46100278551532
2018,4,188,2.0,25.62,24.77,25.23,18.92,123,2,10,1,236.24513618677042,194.4090909090909,123.0,271.68927078495125,256.83106267029973,204.46100278551532
2011,4,156,2.5,24.0,21.9,23.01,17.26,135,5,9,1,236.24513618677042,194.4090909090909,135.0,212.61943319838056,256.83106267029973,204.46100278551532
2012,4,156,2.5,24.0,21.9,23.01,17.26,135,6,9,1,236.24513618677042,194.4090909090909,135.0,212.61943319838056,256.83106267029973,204.46100278551532
2013,4,90,1.5,23.8,26.7,26.15,19.61,119,7,10,1,236.23529411764707,206.75,121.66666666666667,212.61943319838056,256.83106267029973,204.46100278551532
2014,4,90,1.5,23.8,26.7,26.15,19.61,119,7,10,1,236.23529411764707,206.75,121.66666666666667,212.61943319838056,256.83106267029973,204.46100278551532
2012,4,90,1.5,23.2,26.1,24.42,18.32,127,7,9,1,236.23529411764707,206.75,121.66666666666667,212.61943319838056,256.83106267029973,204.46100278551532
2011,4,110,1.3,21.8,25.4,23.29,17.46,134,10,9,1,236.23529411764707,134.0,134.0,212.61943319838056,256.83106267029973,204.46100278551532
2015,4,105,1.2,17.5,22.8,19.54,14.66,159,15,8,0,185.24761904761905,164.66666666666666,159.0,230.70583190394512,256.83106267029973,204.46100278551532
2016,4,125,1.4,17.3,27.0,20.64,15.48,151,25,9,0,185.24761904761905,164.66666666666666,151.0,199.68548387096774,256.83106267029973,204.46100278551532
2017,4,125,1.4,17.3,27.0,20.64,15.48,151,25,9,0,185.24761904761905,164.66666666666666,151.0,199.68548387096774,256.83106267029973,204.46100278551532
2016,4,102,1.5,17.3,24.0,19.79,14.84,157,9,8,0,206.4875,170.0,157.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,106,1.5,17.3,24.0,21.1,15.83,147,9,9,0,206.4875,170.0,147.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,106,1.5,17.3,24.0,21.1,15.83,147,9,9,0,206.4875,170.0,147.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,106,1.496,17.3,24.0,21.1,15.83,147,9,9,0,206.4875,170.0,147.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,106,1.496,17.3,24.0,21.1,15.83,147,9,9,0,206.4875,170.0,147.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,106,1.496,17.3,24.0,21.1,15.83,147,9,9,0,206.4875,170.0,147.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,148,1.4,17.14,28.41,22.15,16.61,140,13,9,0,239.9358108108108,195.3846153846154,140.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,148,1.4,17.14,28.41,22.15,16.61,140,13,9,0,239.9358108108108,195.3846153846154,140.0,271.68927078495125,256.83106267029973,204.46100278551532
2015,4,140,1.4,17.1,27.9,20.71,15.53,150,41,9,0,221.27899686520377,206.97297297297297,150.0,199.68548387096774,256.83106267029973,204.46100278551532
2015,4,140,2.0,17.0,26.1,21.47,16.1,166,95,8,0,221.27899686520377,209.08,166.0,199.68548387096774,254.56852791878174,204.46100278551532
2016,4,140,2.0,17.0,26.1,21.47,16.1,166,95,8,0,221.27899686520377,209.08,166.0,199.68548387096774,254.56852791878174,204.46100278551532
2017,4,148,1.4,16.99,27.12,21.72,16.29,143,31,9,0,239.9358108108108,195.3846153846154,143.0,230.70583190394512,256.83106267029973,204.46100278551532
2016,4,110,1.2,16.9,26.7,20.24,15.18,154,19,8,0,185.24761904761905,164.66666666666666,154.0,230.70583190394512,256.83106267029973,204.46100278551532
2017,4,110,1.2,16.9,26.7,20.24,15.18,154,19,8,0,185.24761904761905,164.66666666666666,154.0,230.70583190394512,256.83106267029973,204.46100278551532
2018,4,107,1.5,16.59,24.15,20.64,15.48,151,36,9,0,239.9358108108108,151.0,151.0,271.68927078495125,256.83106267029973,204.46100278551532
2018,4,107,1.5,16.59,24.15,20.64,15.48,151,36,9,0,239.9358108108108,151.0,151.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,118,1.6,16.5,21.7,18.49,13.87,168,7,8,0,207.45333333333335,177.375,168.0,212.61943319838056,256.83106267029973,204.46100278551532
2015,4,118,1.6,16.5,21.7,18.49,13.87,168,7,8,0,207.45333333333335,177.375,168.0,212.61943319838056,256.83106267029973,204.46100278551532
2017,4,118,1.6,16.5,21.7,18.49,13.87,168,7,8,0,207.45333333333335,177.375,168.0,212.61943319838056,256.83106267029973,204.46100278551532
2018,4,148,1.4,16.45,26.88,19.93,14.95,156,58,8,0,239.9358108108108,195.3846153846154,156.0,230.70583190394512,256.83106267029973,204.46100278551532
2016,4,102,1.5,16.3,23.5,18.91,14.18,164,8,8,0,206.4875,170.0,164.0,230.70583190394512,256.83106267029973,204.46100278551532
2016,4,106,1.5,16.3,23.5,20.24,15.18,154,8,8,0,206.4875,170.0,154.0,230.70583190394512,256.83106267029973,204.46100278551532
2017,4,106,1.496,16.3,23.5,20.24,15.18,154,8,8,0,206.4875,170.0,154.0,230.70583190394512,256.83106267029973,204.46100278551532
2017,4,106,1.496,16.3,23.5,20.24,15.18,154,8,8,0,206.4875,170.0,154.0,230.70583190394512,256.83106267029973,204.46100278551532
2015,4,140,1.4,16.2,26.7,19.68,14.76,158,23,8,0,221.27899686520377,206.97297297297297,158.0,230.70583190394512,256.83106267029973,204.46100278551532
2017,4,148,1.4,16.14,26.1,20.81,15.61,149,11,9,0,239.9358108108108,195.3846153846154,149.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,118,1.6,16.0,19.9,17.55,13.16,177,6,8,0,207.45333333333335,177.375,177.0,212.61943319838056,256.83106267029973,204.46100278551532
2015,4,118,1.6,16.0,19.9,17.55,13.16,177,6,8,0,207.45333333333335,177.375,177.0,212.61943319838056,256.83106267029973,204.46100278551532
2016,4,150,1.4,15.9,25.2,19.07,14.3,163,71,8,0,221.27899686520377,206.97297297297297,163.0,199.68548387096774,256.83106267029973,204.46100278551532
2017,4,150,1.4,15.9,25.2,19.07,14.3,163,71,8,0,221.27899686520377,206.97297297297297,163.0,199.68548387096774,256.83106267029973,204.46100278551532
2018,4,148,1.4,15.84,25.87,19.19,14.39,162,10,8,0,239.9358108108108,195.3846153846154,162.0,271.68927078495125,256.83106267029973,204.46100278551532
2013,4,129,1.8,15.7,23.25,18.39,13.79,169,19,8,0,248.75980392156862,197.5,169.0,212.61943319838056,256.83106267029973,204.46100278551532
2014,4,153,2.0,15.7,23.7,19.86,14.89,157,5,8,0,206.4875,184.32142857142858,157.0,271.68927078495125,256.83106267029973,204.46100278551532
2014,4,153,2.0,15.7,23.2,19.72,14.79,158,5,8,0,206.4875,184.32142857142858,158.0,271.68927078495125,256.83106267029973,204.46100278551532
2015,4,129,1.8,15.7,23.3,18.4,13.8,169,19,8,0,248.75980392156862,197.5,170.5,212.61943319838056,256.83106267029973,204.46100278551532
2015,4,155,2.0,15.7,23.7,19.86,14.89,157,5,8,0,206.4875,184.32142857142858,157.0,271.68927078495125,256.83106267029973,204.46100278551532
2015,4,155,2.0,15.7,23.2,19.72,14.79,158,5,8,0,206.4875,184.32142857142858,158.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,110,1.6,15.7,25.8,19.06,14.29,163,7,8,0,185.24761904761905,164.66666666666666,163.0,230.70583190394512,256.83106267029973,204.46100278551532
2017,4,110,1.6,15.7,25.8,19.06,14.29,163,7,8,0,185.24761904761905,164.66666666666666,163.0,230.70583190394512,256.83106267029973,204.46100278551532
2016,4,155,2.0,15.7,23.7,19.86,14.89,157,5,8,0,206.4875,184.32142857142858,157.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,129,1.8,15.7,23.25,18.39,13.79,169,19,8,0,248.75980392156862,197.5,169.0,212.61943319838056,256.83106267029973,204.46100278551532
2016,4,155,1.998,15.7,23.7,19.86,14.89,157,10,8,0,206.4875,184.32142857142858,157.0,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,155,1.998,15.7,23.2,19.72,14.79,158,4,8,0,206.4875,184.32142857142858,158.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,155,1.998,15.7,23.7,19.86,14.89,157,2,8,0,206.4875,184.32142857142858,157.0,271.68927078495125,256.83106267029973,204.46100278551532
2017,4,155,1.998,15.7,23.2,19.72,14.79,158,4,8,0,206.4875,184.32142857142858,158.0,271.68927078495125,256.83106267029973,204.46100278551532
2013,4,105,1.2,15.69,26.53,19.22,14.42,162,16,8,0,185.24761904761905,164.66666666666666,162.0,230.70583190394512,256.83106267029973,204.46100278551532
2018,4,150,2.0,15.68,23.84,18.53,13.9,168,28,8,0,210.29090909090908,182.66666666666666,175.66666666666666,230.70583190394512,256.83106267029973,204.46100278551532
2018,4,148,1.4,15.57,24.89,18.72,14.04,166,9,8,0,239.9358108108108,195.3846153846154,166.0,271.68927078495125,256.83106267029973,204.46100278551532
2012,4,104,1.2,15.54,21.78,17.84,13.38,174,11,8,0,221.27899686520377,216.8181818181818,174.0,230.70583190394512,256.83106267029973,204.46100278551532
2013,4,104,1.2,15.54,21.78,17.84,13.38,174,11,8,0,221.27899686520377,216.8181818181818,174.0,230.70583190394512,256.83106267029973,204.46100278551532
2016,4,160,2.0,15.54,24.84,18.69,14.02,166,19,8,0,236.24513618677042,192.37142857142857,173.25,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,160,2.0,15.54,24.84,18.69,14.02,166,19,8,0,236.24513618677042,192.37142857142857,173.25,271.68927078495125,256.83106267029973,204.46100278551532
2016,4,150,1.4,15.5,24.5,18.57,13.93,167,83,8,0,221.27899686520377,206.97297297297297,167.0,199.68548387096774,256.83106267029973,204.46100278551532
2017,4,150,1.4,15.5,24.5,18.57,13.93,167,83,8,0,221.27899686520377,206.97297297297297,167.0,199.68548387096774,256.83106267029973,204.46100278551532
2016,4,146,2.0,15.5,21.2,19.0,14.25,164,6,8,0,206.4875,174.71428571428572,164.0,271.68927078495125,256.83106267029973,204.46100278551532
